,author,body,created_utc,score
30,allankcrain,"Reminder that the Johnson & Johnson vaccine doesn't use the mRNA technique, just the same time-tested method of vaccine creation that we've been using for decades. Anyone who's hesitant about mRNA vaccines specifically can get that one instead. It's only one shot, and it's still extremely effective.

And again, it doesn't matter if you personally aren't at high risk for covid (plus you ARE at risk, just LOWER risk). You likely interact with people who are. You need to get vaccinated to protect THEM, not to protect yourself. If you're young and strong and healthy, you could catch covid and not even realize you're sick, which means you can pass covid along just by breathing in the wrong place and cause someone else to die. I don't understand why people on the anti-vax side of this argument don't seem to get this. The reason you get vaccinated is to protect those around you; the fact that it also protects you is just a nice side effect. Just like how it's illegal to drive drunk--it's perfectly legal for you to drink yourself to death or get drunk and do something stupid and reckless that only risks your own life, but we make drunk driving illegal to protect everyone around you. 

And anticipating your immediate response of ""If other people are worried, THEY can get the vaccine"": 

1. No vaccines are 100% effective, so while breakthrough cases are relatively low, they're not zero.
2. If you're the sort of person making these arguments, you probably associate with with a bunch of people who similarly distrust the vaccine and are extremely high-risk. 
3. The virus mutates when it spreads. If it spends enough time bouncing around through unvaccinated healthy people, eventually it might mutate into something that the vaccines are much less effective against or which is much more likely to kill young and healthy people.
4. If you do fall into the fairly large group of people who are younger but still get deathly ill with covid, you're taking up a hospital bed and hospital resources.",2021-10-15,1
31,hitokiri1859,100 a share. The covid use is great but it has more applications then just covid use,2021-10-15,1
32,redbeardoweirdo,"Well because of this new thing called herd immunity and if covid continues to spread, replicate and mutate, current vaccines could be rendered useless, which would lead to more lockdowns and more economic decline. But at least the price of gas will go down since the demand will also go down.",2021-10-15,0
33,Maffu00,Scotts Miracle Gro.  Not quite a mandate but $55 a month surcharge on insurance for not getting Covid vaccine and $55 a month for Flu shot. All new hires must be fully vaccinated as well,2021-10-15,1
34,elk-blood-heart,For less than 20 bucks you can get a fleecy neck gaiter on amazon which will do far more than a covid mask .... but whatever works I guess!,2021-10-15,1
35,radicalllamas,"I actually gained my residency in my new home (Canada) the day after the brexit vote… 

I remember being quite homesick at the time (I had come back to the uk for a visit a few months beforehand) and was definitely thinking about whether I was making the right decision. 

The day after that vote I realized that my “home” wasn’t all that “homely” anymore and was heading in a different direction to where I wanted to go. 

There’s still opportunities there, there’s just more hoops to jump through if you’re “unskilled, unqualified” etc. 

If you’re a young person reading this and you just want to Brexit from Britain, get certificates (degrees, trades whatever) and get out to the countries you want to get to. It’s far easier to apply for extended visas, residency and citizenship when you’re in the actual country you want to live in than being elsewhere. 

Obviously covid is making that difficult, I completely understand that, but when the borders etc start opening get fucking going! There’s labour shortages everywhere and you’ll get a job pretty quick if you just want to get out of your current situation!",2021-10-15,39
36,Amavene_Sedai,"I did a pocket watch for my husband! I didn't dare get the wedding date engraved because we weren't sure if we would be able to go ahead due to COVID, so I got ""All my love, for all time"" instead. He loved it!",2021-10-15,21
37,sweeter_jesus,"Mike is right. I haven't watched your set because it's your first set. Even if it went really well in a year (or less) you will hate it. And I get the urge to ask everyone if they think you're good or if they think you should keep doing it - I was like that but it never got me anywhere. 
Any of the very very little plaudits I have ever received has been because I kept doing it and got better over time. And 4 years (-covid years) of stand up later. A billion miles from where I was on my first step. And in 4 more years I hope to be another billion miles from where I am now
So I think if you love doing it keep going up and trying your best. And resist the urge to reach out to reddit for advice because it's not going to ever give you the answers you're looking for. 
Peace",2021-10-15,9
38,Gadflyabout,"His Covid was a year ago, so we don't know if his immune system from that is at any decent level, and as noted by bobby he was vaccinated as well.",2021-10-15,5
39,thebenshapirobot,"If you like socialism so much why don't you go to Venezuela?


*****

^(I'm a bot. My purpose is to counteract online radicalization. You can summon me by tagging thebenshapirobot. Options: patriotism, covid, novel, sex, etc.)



[^More ^About ^Ben ](",2021-10-15,2
40,modilion,"> The scamdemic is growing weaker each day as the story continues to fall apart bit by bit.

Do you mean that currently, COVID-19 is on the down slope of a surge? [That is correct.](",2021-10-15,4
41,BrokenGolfer,"To add to this, 100’s of athletes who tested positive had to remain in Covid protocol until they tested negative. I wouldn’t rebook until you test negative.",2021-10-15,2
42,TurtleMan22891,"Why is this dumb? Everything it says is true. And this list is extremely exclusive of a ton of science that was killing us. Iridium as mouth wash, pesticides responsible for the genocide of the honey bee population globally… The problem with a lot of modern “science” is that it is extremely biased to fit the agenda of those conducting the research. As far as the vaccine debate goes, American data has been high jacked to promote high vaccination rates. Look at data coming out of Israel where they are far more transparent with their numbers. Something like 70% of current Covid deaths in Israel are reported to be among the vaccinated. This facepalm page has also clearly been highjacked by an echo chamber who believes your a moron for not getting an experimental vaccine. A facepalm in itself.

Let the downvotes flow!",2021-10-15,-1
43,sawyouoverthere,"If the pharmacist can't correct it by cancelling the billing, it's on the AHS side.

Have you tried contacting AHS?  811, public health clinic or 

Hours: 7am to 7pm (Monday to Friday) and 9am to 5pm (Saturday and Sunday)

Toll free: 1-888-527-1224

Email: Covid19Record@gov.ab.ca

",2021-10-15,3
44,NorthWestKid457,"Work is having like our 3rd doctor come in to explain covid, vaccines, etc, and answer any questions and while I applaud the effort...these people didn't get to being anti-vaxx because a doctor told them too, what makes you think that they'll suddenly start listening to medical professionals?",2021-10-15,13
45,Prince-Koko,It seems very downplayed how many asymptomatic people really had tested positive or would have tested positive for covid.,2021-10-15,1
46,monkeybugs,"I had never written any kind of erotica prior to my first book last year. I started it at the end of July, when things were insanely busy and intense with Covid (locally especially) and me working in essential retail. I never had time to write before work, though I'd get there 10-15 minutes early and type of a little in a note, but after getting home and eating dinner, I had my nose in my notebook writing until it was bedtime. It was SUCH a good outlet to deal with my anxiety and crap. Publishing the book in December (a month after I had quit the job) was like closing that chapter on my life; but it gave me such comfort that it was hard knowing I wasn't gonna be in that world again.

I enjoyed the process from start to finish, and having just published a second, and working on a third, I mostly don't care that I'm not going to be some well-known/well-loved author—they're just fun to write.",2021-10-15,9
47,nosystemsgo,"> Shall we gloss over iran-contra? The CIA program to flood inner cities with crack and heroin so they could support a violent regime in south america?
> 
> 
> 
> Shall we talk about Operation Condor where the CIA, for 8 years under Reagan, funded South American death squads that went on to rape and murder more people then covid has killed in America by a long shot?

Well, in all honesty, this happens regardless of the president. Red or blue; it's the American way!",2021-10-15,1
48,AutoModerator,"While the state of Washington and the Seattle area are starting to reopen, COVID-19 is still here. Stay home, stay safe, stay informed. Read more [here](",2021-10-15,1
49,AutoModerator,"


A message to all users: Please be aware that spreading misinformation regarding COVID-19, vaccines, or other treatments can result in content being removed and/or a ban. Content advocating for or celebrating the death of anyone, or hoping someone gets COVID-19 (or any disease) can result in a ban as well. Please follow [Reddiquette](",2021-10-15,1
